id;tag;revision;status;block_id
1;Пластиковый Практичный;обойти взломать;ACCEPTED;1
2;синий;серебряный Сан-Марин;CHECKED;2
3;конденсатор Клатч;Сент-Люсия Leone стр;UNDER_REVIEW;3
4;partnerships Account Avon;индексирование Сталь;NEW;4
5;область область utilisation;Secured перезагрузит;ACCEPTED;5
6;администратор;initiatives optimizi;NEW;6
7;маркетинговый;Спорт users Куртка;CHECKED;7
8;Phased;neural-net Bedfordsh;IN_PROGRESS;8
9;Деревянный web-enabled Неодимовый;project Центральный ;TESTED;9
10;Национальный координатор XSS;seamless Cloned;IN_PROGRESS;10
