id;number;location;description;revision_drawing;status;closed_date;type_id;punch_list_id;priority_id;author_id;line_id
1;1;;Состыковать трубопровод с блоком 010.;3;READY_FOR_REVIEW;;6;1;1;4;1
2;2;;Состыковать трубопровод с блоком 011.;3;CLOSED;2022-03-29 19:41:01;2;1;1;4;2
3;3;;Срезать прихватки с опоры поз.9 (159-КП-АС11) на участке <1> (1-ая по направлению оси Y).;0;NOT_ACCEPTED;;2;1;2;4;3
4;4;;Опору поз.10 (неподвижная опора 159-КП-АС21) на уч.2 приварить к трубопроводу и подопорной конструкции согласно ТУ к проекту.;0;INITIATED;;6;1;1;4;4
5;5;;Срезать прихватки с опоры поз.9 (159-КП-АС11) на участке <1> (5-ая по направлению оси Y).;2;READY_FOR_REVIEW;;5;1;4;4;5
6;6;;Состыковать трубопровод с блоком 012.;1;UNDER_REVIEW;;2;1;1;4;6
7;7;;Состыковать трубопровод с блоком 011;3;VOID;;8;1;2;4;10
8;8;;Опору поз.3 (159-КП-АС11) на уч.1 выставить по центру подопорной конструкции;4;CLOSED;2022-03-29 22:30:17;4;1;2;4;10
9;9;;Опору поз.6 (направляющая опора 159-КП-АС21) на уч.3 смонтировать согласно проекту (2-ая по направлению оси Y). По факту обычная.;1;CLOSED;2022-03-30 22:30:17;2;1;2;4;10
10;10;;Обеспечить прилегание опоры поз.6 (направляющая опора 159-КП-АС21) на уч.3 по всей площади опорной поверхности (2-ая по направлению оси Y). ;0;CLOSED;2022-03-31 22:30:17;3;1;2;4;10
11;11;;Опору поз.7 (неподвижная опора 159-КП-АС21) на уч.3 смонтировать согласно проекту (3-я по направлению оси Y). Не приварена.;0;CLOSED;2022-04-01 22:30:17;6;1;3;4;11
12;12;;Смонтировать опору поз.5 (159-КП-АС11) на уч.3 (5-ая по направлению оси Y).;1;CLOSED;2022-04-02 22:30:17;3;1;4;7;12
13;13;;Все опоры на уч.1-3 приварить к трубопроводу согласно ТУ к проекту.;1;READY_FOR_REVIEW;;3;1;3;7;12
14;23;;Опору поз.4 (направляющая опора 159-КП-АС21) на уч.7 смонтировать согласно проекту (2-ая по направлению оси Y). По факту обычная.;0;NOT_ACCEPTED;;5;1;2;7;12
15;32;;"Все опоры на уч.4,6,7 приварить к трубопроводу согласно ТУ к проекту.";1;INITIATED;;5;1;2;7;12
16;18;;Лишняя непроектная опора 159-КП-АС21 на уч.1 (отметка по оcи Y 111000). Предъявить правильность монтажа. Согласовать с АН. ;5;UNDER_REVIEW;;5;1;3;7;18
17;4;;Предъявить правильность монтажа опоры поз.3 (неподвижная опора 159-КП-АС21) на уч.1 (3-я по направлению оси Y).;2;UNDER_REVIEW;;2;1;3;7;18
