id;number;name;description;project_id
1;44884;withdrawal НМЖД Свитер;SMS architect;1
2;72516;промышленное улица генерировать;USB коммуникационный Свободный;2
3;24111;Tenge encoding;ул.;3
4;31673;Reduced пл. автономный;Потрясающий capability;4
5;33485;Кепка;deposit лимонный;5
6;57159;ИИ;признана);6
7;65362;Cloned передатчик;markets ул. content-based;7
8;83549;next-generation payment интеграционный;интерфейс Account;8
9;86616;capacity Phased;Эргономичный;9
10;20492;взломать Меха;JSON Руанда Versatile;10
